1549194744.000005
377691228977889283|ExcaliburSux#7162|28388.0|1549224395.999986
500656746440949761|PandaDriver#1584|25530.185398817062|1549237944.1854038
297971074518351872|Tropic Mango#6755|23856.0|1549199303.274817
137016970917707776|Soap#3672|22783.0|1549185065.673884
173305839833186306|JCTron#6019|20309.0|1549129349.1614149
337116959433031681|eixn#9316|11138.0|1549163971.5862558
182707904367820800|Ajisoo#9487|8714.0|1549212826.282898
191597928090042369|Excalibur I#3249|8092.0|1549173415.858866
229808879356215296|Howyu#7873|7659.0|1549104474.499824
363919124092682241|Ian#4192|6898.0|1549191964.8712618
219324654290993153|LuxuFate#8990|6161.0|1549096814.6965601
458589610973331477|Archania#0287|5425.0|1549214978.5931861
464326618844889089|Mozambican Mapping#9975|4958.0|1549204111.436678
225822313550053376|Tatrinpaha#1713|4931.0|1549178347.3936949
331677911407132672|CrazyCola75#2869|1666.0|1549149406.8578649
